二舅可能都去设计火箭了
学霸之所以是学霸，除了能搞深入研究，还有一种就是能帮到 所有身边人
《露脸表扬》
那个年代的婚姻几乎都是媒妁之言，父母之命
「小孩是小，不是瞎」7个字让我破防了
我以为他要说二舅后来创办了上海牌
忽然觉得现在给爱情贴的标签好简单 人的情感那儿说的清楚
《二舅总有办法》
小孩是小，不是瞎。说到心坎里了
敬二舅，也敬天下默默的我们和他们
点名批评
魔法师
如果出生在21世纪，你二舅大概进中科院了已经
弟弟：好哥哥我谢谢你哦……
也许是上天派二舅做全村的守护神做小家的明灯
在这个领域他是院士
上帝给二舅关了一扇窗，二舅自己打了一个三室一厅
还在这里发“如果”没明白UP的良苦用心啊，就是告诉大家不要遗憾，活在当下
其实二舅一直都是个天才少年 只是有扇窗被关了
千万文案
某光头表示很赞
这家伙，没瘸我觉得我们可能享受到二舅的科研成果
超豪华OK
此弟不宜久留
这个盒子简直帅到靠北
几年后，二舅突破芯片3nm节点
这个盒子好有趣好巧妙hhh
但我们每个人都清楚，歪子比谁都正
谁说二舅这样的平凡人比不上栋梁？
《华强北劲敌》
下笔记本上面一句是，宁可自己鲜血流，祖国的寸土不能丢
“不要光赞美高耸的山峰，平原和丘陵也一样不朽”
第二快乐的人，是从不回头看的人
《二舅总有办法》
敬劳动者
卧槽，现实果真是现实
此弟不宜久留
《拆 上 几 次》
年轻人都走了，只剩老年人和村子一起老去
哈哈哈哈哈哈哈哈可怜的老头
如果当年不是那位医生，可能二舅现在造的就是这些了吧
莫名有一种《活着》的感觉
首长：谢谢夸奖，有空常来
国家应该给这样的普通百姓一定的低保补贴，过上稍微安详的生活
下定决心，不怕困难。排除万难，去争取胜利
还真是超豪华ok牌
如果没有那次意外，他现在早已扬名立万了
六边形工匠！
别忘了，那个时代的包办婚姻
二舅是社会底层闪闪发光的六边形战士！！！
天妒英才
另一个版本的《活着》
新一代的兵忘了首长本也从人民中来的
穿越党必备神书
《看会了》
端正的死亡观在这个时代很珍贵
照顾得好好，姥姥的腿皮肤看着还很年轻
小孩是小，不是瞎！
转头的那一刹那，我看到的不是一个弯腰驼背的老头，而是一位身影伟岸高大的战士
回湖南32天，决定了我的基本路线
哈哈哈，幸亏卦不是自己写的
火去视频号儿了都！衣戈强！！
仙人跳：指一种诈财的圈套
小孩是小，不是瞎
这可不是上天的不仁，而是怜悯。
六边形战士二舅
中国还有无数个二舅
真的是让我又哭又笑
多难想象，若是没有那四针，他的人生也会向这些图画一样令人惊艳吧
宁宁太刚了哈哈哈
欢迎来到币比赞多系列
这一段太喜欢了
过两年二舅转行程序员了
如果二舅当时没有放弃学业会不会是现在已经是一位中国的大牛
这是是村里的守护神吧！
原来文明6村民告诉你核聚变的秘密是有道理的
致敬每一个认真生活的人
视频道出普通人人的无奈、痛苦、煎熬、不屈、奋争、责任、友情、平和与安然。
能给二舅整个光刻机不??
超豪华ok？
我靠，这句话简直戳爆我的泪点了，果然老年人都是时代遗弃的产物
他永远在人民心中
年度最佳纪录片《我的二舅》
如果没有那次意外，他现在早已扬名立万了
“他公平”
明年就是6789 顺子～
光刻机！快拿台光刻机来！
六边形战士
那在时时代已经快把他遗忘，但所有人但还记得他
我想笑，但又很想哭，这种感觉很好，很真
笑着笑着就哭了
个人推测。是青霉素，注射青霉素中含本甲醇，能提高青霉素溶解，但是也有可能导致肌肉坏死
《活着》
接下来二舅该开始写代码了
哇，跟我奶奶同款的收音机
永远不要相信苦难是值得的，苦难就是苦难，苦难不会带来成功。苦难不值得追求
某光头表示很赞
首长，我谢谢了
《二舅总有办法》
@老五Travis：可可预见的“大队”已经在往小山村进发了～
我们理应认可平凡的自己，以及小资生活以外的生活方式。
二舅：我谢谢你俩奥
哎呀 这不走进科学吗
二舅！真的！我哭死
这是我可以听的吗
四针的偏差，于是少了一个意气风发的二舅
下定决心，不怕牺牲，排除万难，去争取胜利
“不知道什么原因”
太棒了 我因此回答了60+问题
二舅从不落魄 也并不可怜
平凡且伟大的人生 幽默支撑起岁月的苦涩
截止现在，最感动的是那句“二舅总有办法！”
《点名表扬》
牛牛牛
《放》《随身携带》
那种勃勃生机、万物竞发的境界，犹在眼前
二舅太棒了，不是命运的捉弄，妥妥的大才啊
二舅就是村子里的守护神！！！！！！！！！！！！！！！！！！！！！
谁说二舅这样的平凡人比不上栋梁？
如果当时二舅没有放弃学业的话现在生活应该会更好点吧，二舅真是太厉害了
村里只剩几百个老头老太太了，真的是现在的农村现状
妈呀 一天就打四针 我们要好久才打第四针
一语双关啊
“听说爱情曾来过”
酷毙了，好吧！
科普一下 ok也是个家具的牌子 我姥家之前有
越发的感觉在看余华的书
早就说了二舅脑子很好 
《卑微地伟大着》
某光头表示很赞
这是作者要表达的观点
那种勃勃生机、万物竞发的境界，犹在眼前
出自传小说吧感觉能火
《这到底算怎么一回事呢》
现实版活着
天啊真的《总有办法》
不知道那两个小孩子怎么样了，愿他们平安。
文城
农村这种情况很多
四针扎没了一个天才少年
异世界二舅
其实那个时候的感情观，比现在开放的多。。
？？？？？
《挂》
突然发现人活着就是要向前看，二舅舅就是这样的。
想投一个硬币给平凡人，给普通人，给二舅。
路上顺便做了件衣服换上了
没绷住
虽然生活没有如果，但是二舅这种人不打错针该有多好
这两个币，就当作是我敬二舅的了
也要看沉迷什么游戏，有些东西不必沉迷。
他公平，泪目
《顾不住别人》，二舅确是有担当的汉子，不像那些80岁的老头还想着找个倒贴保姆来伺候自己
为什么这个视频突然变全屏弹幕，我明明设置了1/4
平凡却又伟大
从苦难者身上汲取力量，又有谁去在意苦难者的苦难？
昨天晚上班主任刚在班里面放过，今天回来就刷到了？！
姥姥皮肤好白！
被针耽误的工程院士
卧槽你为什么能这么幽默地讲悲剧
看了这么多，我真的感觉很遗憾。好好的人生，因为一个医生毁了。
他公平
不知道为什么，看到那个盒子就绷不住了
6688组合简直酷的要死！
''世界以痛吻我，我却报之以歌。''
《二舅总有办法》
天才永远是天才
好精神 有点帅的
下一个python就有了
光刻机：躲过一劫
过于熟络
欢迎来到币比赞多系列
这个工具盒学会了，
某光头觉得很赞
这字真漂亮
万能的二舅
全国人民团结起来，争取更大的胜利
叫什么“歪子”，要叫“歪爷”
他公平
谢谢二舅！努力生活！争取做世界上第二快乐的人
六边形二舅。。。理工天才
快 手 阿 修
看着这个视频 一边笑，一边流泪
此处应该@中芯国际
OK，很OK
下定决心，不怕牺牲，排除万难，去争取胜利！
《拜 登 牌》
这句说话的真好
致敬二舅
《人生海海》的感觉
二舅守护住自己的木叶村
用平实的文字语音书写了华夏民族的悟道，历史记录了，一直前进着，在路上至永远
这个拍成电影或电视剧会更火！
"当埋怨自己没鞋穿的时候，却发现还有人没有脚。"
六边形战士二舅
像人生海海里的上校
姥姥腿这么白呀
姥姥皮肤比我的都好
五刷了，太上头了
小孩是小，不是瞎
不要一辈子都活在遗憾里
中国版《楢山节考》
二舅是一位伟大的“中医”，治好了千万人恐惧、担忧、自卑、孤独的心理疾病。
看脚就知道是细心照顾的
说文案牛逼的，你不想想up的二舅学习成绩顶尖，外甥能差到哪？
可惜了，不说那个医生，说不定能为祖国作出巨大贡献！
恭喜你发现镇站之宝
恭喜你 发现了大宝藏！！！
【旷世奇才
二舅不惨，隐身的农村女性才是最惨的
我第一次见到如此恐怖的硬币数
那种勃勃生机、万物竞发的境界，犹在眼前
为小侄子点赞
我们看到的是周公子朋友圈
好像李宗盛的一首歌，好像叫小镇医生的故事
这真的比那些高高在上的专家要更加难得可贵
这脚你说是十岁小孩子我都信
一键三连数疯狂上涨
苏式彩画
敬二舅
7.29  3309.5万
我就不三连了啊，先去投俩币再点赞收藏
上天为他开了一扇门 也为他关了一扇窗
视频制作者生活在一个亲情很浓的家庭，对二舅积聚有30年的深厚感情和钦佩。
男方呢？
私有化了
此弟不宜久留
姥姥腿的状态看起来好年轻
雷达图满格！
他那个屠龙少年
嗯，这弟弟傻的很可爱
跟我爸妈结婚时的h柜子简直一模一样，那个超豪华
敬二舅
《人生海海》
他公平
抖着的腿突然不抖了
真的是 太传统的中国式小说了
农村老奶奶这么白的脚可见照顾的很用心
阿甘正传
办不下来也是因为只有他公平
文笔太牛逼了
不要拿当下的婚姻观去评价以前的别扣问号了
看第一遍懵懂，第二遍触动，第三遍敬仰、感动
这个时候就有照片了，只是画质糊一点，可以去问问长辈
敬二舅
说毕十三的那个，如果你能看见我的弹幕，希望能能联系到你
自我救赎
女人的老公不是更可怜吗？
popping或者poppin，不是poping
我们国家真的在进步，会越来越公平
欢迎观看2022年b站最佳视频
后面打问号的人，考虑一下当时的时代背景，在农村很多类似的事，别用现在你“高高在上”的眼光去看他们
建议成为入站必刷
我流泪了
我想到了王爷爷 555
他大舅他二舅都是他舅，高桌子低板凳都是木头
说实话没看懂
我单方面宣布这是我二舅了
8.2W人和我一路看二舅～
1200一条烟
敬二舅
我觉得不如用土方法……
敬二舅
公平！
以德报怨，何以报德？
生可欲，死亦是如此
二舅你怎么抽烟啊，对身体不好啊
二舅的针 是什么针？
希望这视频的播放不会引来一些别有用心的人，打扰二舅宁静的生活。
i了i了“只爱干活”
敬二舅！一杯敬苦难，一杯敬二舅！！！
敬二舅
公平我一下流泪了
8.9w人正被感动着
你的大学跟以前大学不是一个东西
大家奋斗不是为了像二舅一样吃苦，取得胜利是精神和物质的双重丰收，而不是无奈的自我升华。
敬二舅
敬二舅！
我看一遍就会了
敬二舅
感觉河北邯郸
回湖南32天，决定了我的基本路线
夜里两点九千加在看！
残废的二舅是最快乐的人，讽刺不讽刺？
忍受苦难从来都不是美德，是不得已
《公平》
这房子是乾隆年间的？
他公平
拆完xx拆xx，跑步回到xxx
两年后，二舅研究出1nm光刻机
要愤怒，不要沉默
这有什么离谱的。
敬二舅  敬每一个奋斗中的平凡人
回来点个三连
敬二舅
入站必刷
敬二舅
敬二舅。
敬二舅！
敬二舅
敬二舅
可恶，为什么一个视频只能投两个币
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
文案，建议纳入教材
敬二舅
苦难无法治愈苦难，二舅苦难的根源是什么
不要打扰二舅！
欢迎来到币比赞多系列
他公平
这个视频很可能，变成点赞量和硬币量最多的视频
三刷了
敬二舅
敬二舅。
原来的公平还在吗？
见证二舅打破全站投币量记录
敬二舅
看完这个视频我想起一句话那就是这个世界只有一种英雄主义，就是认清真相之后依然热爱生活
啊                                                                                                这
不要美化苦难
二舅全程没说一句话，你却替他笑看了苦难
说的太好了
真的如同  上校 一般存在
敬二舅
光头语录
jingejiu
敬二舅
我只会刷视屏
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
天啊真的《总有办法》
敬二舅
太会总结了
敬二舅
敬二舅
臣密今年
轻描淡写，但愿你们每个人都活成二舅一样，哈哈哈
敬二舅
姥姥年纪大了身体很多部位不自觉的抖动，像是在跳poping，很可爱的形容
蚌
敬二舅、
低保呢？农合呢？有没有？
尊唐
敬二舅
敬二舅
8.9W+一起看
美化苦难就是吃人
二舅，其实就是每一个勤劳朴实顽强平凡的父母的缩影。
敬二舅
致敬二舅，感谢作者！
《活着》
致敬二舅
929
敬二舅
敬二舅
敬二舅
镜二舅
敬二舅
？
敬二舅
。。
我真的在哭 怎么会这样啊
敬二jiue
敬二舅
  q。                   
他公平
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
jing   er   jiu
敬二舅！
敬二舅
敬二舅
敬二舅
敬二舅
up很棒 也敬二舅
敬二舅
币比赞多系列！
致敬二舅
敬二舅！
敬二舅
敬二舅
一天不看浑身难受
五刷了
他是谁？
看了好几遍啦啦啦啦啦啦
二舅的真实想法呢，哪怕说句话也好啊。
他公平
敬二舅
我的天，七百万
敬二舅
说吹过了的，你一辈子可能都干不成二舅这样，就只会在网络口嗨
敬二舅
直接看哭
8.8万＋的人都出来！
你精神内耗，是因为真有人骑在你头上作威作福
“但凡读过书的都知道理应痛斥，凭己所学，为不公之人谋一个公平"
《公平》
认真生活的二舅
强烈要求进入必看视频
他公平
他公平
敬二舅
敬二舅
敬二舅
美好哈哈哈哈哈哈
敬二舅
？？？
敬二舅
2.2万人？
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅！ 敬二舅！
敬二舅
敬二舅！
敬二舅
全能的二舅
二万多的人都出来吧
敬二舅
敬二舅
敬二舅！
敬二舅
敬二舅
致敬二舅
敬二舅
敬二舅
哈哈哈哈哈
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅！
敬二舅
1-7w
原来是变形记呀
敬二舅
敬二舅
看了还来
敬二舅
六刷
敬二舅
敬二舅
《1.6w人》
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
致敬二舅
敬二舅
敬二舅
敬二舅
能发吗？
致二舅
敬二舅
敬二舅
致二舅
致二舅
敬二舅
敬二舅
敬二舅
敬二舅
为什么打不开了
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
武训
敬二舅
敬二舅
敬二舅
卑微而骄傲！
致二舅
敬二舅
抖音快去开通，
致二舅
3,000万播放纪念!
敬二舅
绷
3000万！
敬二舅
敬二舅
敬二舅
宝贝我来看了
我大舅在家人群里发了这个视频
四天0.3亿播放量，就离谱
敬二舅
《公平》
敬二舅
敬二舅
这视频get到了我的点，我父亲他们几兄弟，我母亲她的几个兄弟不就是这样的人么
敬二舅
敬二舅
致敬二舅！
敬二舅
他公平
敬二舅
敬二舅
致敬二舅
敬二舅
敬二舅
敬二舅
先投币为敬
敬二舅
孙少安
敬二舅
开头这片段太有意思了
敬二舅
致敬二舅
致敬二舅
致敬二舅！
敬二舅
他公平
敬二舅
敬二舅
我二舅整挺好
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
？？？
敬二舅
敬二舅
歌颂苦难，非啥即啥
三刷
敦一敦伟大的友谊
？？？？？
敬二舅！！
敬二舅
^_^
敬二舅
？？？？？？？？//
那得看你对胜利怎么定义了
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
难能可贵
你有你二舅，我有我二伯
老师让写观后感，再看一遍
首长：糟了！我成搓背的了
二舅真的慈眉善目
敬二舅
敬二舅
敬二舅
敬二舅
谁叫他是我的二舅呢
敬二舅
敬二舅
敬二舅
但是他是我的二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
谢谢二舅！我有力量了！
泪目
敬二舅
敬二舅
汲取力量
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
致敬二舅
二舅真的是天才，可惜了
敬二舅
致二舅
敬二舅
敬二舅
敬二舅
如果一直活在过去    那么将会错过未来
敬二舅
敬二舅
敬二舅
敬二舅
可惜人生不是文案
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
哭了
镇站之宝啦
敬二舅
敬二舅
敬二舅
苦难并不会摧毁人，奴役才会摧毁人。
敬二舅
敬二舅
敬二舅
二舅太厉害了
敬二舅
致敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅敬二舅
敬二舅
敬二舅
太厉害了
敬二舅
敬二舅
不！不！不！
敬二舅
六边形工匠
敬二舅
火出圈了！
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
小孩是小，但不是瞎
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
全能的二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
致敬二舅
敬二舅
敬二舅
真实且动人心弦
敬“二舅”
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
哭了
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
二舅真的脑子很好啊
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
二舅总有办法
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
？？
致敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
二舅真的好酷
二舅，你好
我家的老厨柜也是超豪华ok的
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
哈哈哈哈哈哈哈哈哈
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
哈哈哈哈哈哈哈哈哈哈哈哈
二舅现在名扬天下了
牛牛牛又悲又幽默
敬二舅
敬礼
敬二舅
靠 牛逼
敬苦难
敬二舅
敬二舅
？？？？？？？
诶
敬二舅，敬人民
但是扛过苦难的人值得歌颂。
致敬二舅，平凡又不平凡！
敬二舅
敬二舅
全世界无产者，联合起来！
这家具厉害了
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
？？？
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
致敬二舅
敬二舅
纵使困顿难行，亦当砥砺奋进
敬二舅
敬二舅！
字写的真好看啊
敬二舅
敬二舅
每个村子都有一个树先生
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅！
敬二舅
可惜没有如果
敬二舅
敬二舅
敬二舅
全文背诵
敬二舅
他才是好好的生活
敬二舅
敬二舅
敬二舅
致敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅！
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅！
敬二舅
敬二舅
致敬
敬二舅
致敬二舅！
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅！
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
酷的哈哈哈哈哈哈
敬二舅
这文案绝了，这二舅绝了
弹幕呢
敬二舅
敬二舅
敬二舅
敬二舅！
乡村达芬奇
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
二舅越多，周公子越舒服
敬二舅
敬二舅
敬二舅
敬二舅
红旗插遍全国！
敬二舅
哭了T﹏T
常看常新
鲁迅
敬二舅
敬二舅
每多一个二舅的故事，我就深感前路漫漫。不用人民负重前行的社会何时会来。
敬二舅
敬二舅
每多一个二舅的故事，我就深感前路漫漫。不用人民负重前行的社会何时会来。
最后再说一遍不要乱打针
伟大的人才，
敬二舅
敬二舅
泪目了
他没有走出这座山，却成了这座山的神
敬二舅
敬二舅
敬二舅
人生海海
二舅好惨
敬二舅
敬二舅
敬二舅
jin敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
文案太棒了
敬二舅
真“上校”
0:14
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
高考阅读题这不就来了
敬二舅
敬二舅
敬二舅
敬二舅
二舅并不可怜落魄，他乐观高大
可是，你愿意成为你二舅吗
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
字好好看
敬二舅
三连了
敬二舅
敬二舅
敬二舅
他喜欢喝酒吗
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
太难了
致敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
是金子果然到哪里都会发光！！！尊唐YYDS
贴牌家具石锤了
敬二舅
或许你二舅他早已忘怀
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
弹幕护体
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
作者告诉我们不要乱打针，否则后果很严重
觐二舅
敬二舅
敬二舅
敬二舅
二舅好牛
敬二舅
致敬二舅此类为生活奔波的人
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
太牛了
谁也不想当二舅啊，都想当周公子
敬二舅
敬二舅
敬二舅
敬二舅
天，连手机壳都一样
敬二舅
想到阿甘正传
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
突然想到余华的活着
敬二舅
敬二舅
敬二舅
活着这个现实，就十分有力量
敬二舅
啊这
敬二舅
敬二舅
敬二舅
牛逼
敬二舅
敬二舅
敬二舅
敬二舅
这样的文案连同视频登上教材都不为过
泪目，敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
高看十眼
敬二舅
敬二舅！
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
所谓情感
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅！
从不回头看
敬二舅
遗憾是沉沦的毒药
伟大的战士
敬二舅
敬二舅
敬二舅
580万硬币啊厉害死了哈哈
敬二舅
敬二舅
敬二舅
几百个？
敬二舅
敬二舅!!!
责任
二舅被逼成神婆是我没想到的
敬二舅
敬二舅
敬二舅
敬二舅
真心感叹，太厉害了
就是突然想到外公外婆，就真的哭了。
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
致敬，非常治愈
敬二舅
泪目了
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
说实话，我感觉毕十三比不上二舅(哈哈)
敬二舅喵
你只看到了  贫穷
敬二舅
敬二舅
敬二舅
太牛逼二舅
敬二舅
敬二舅
保护
敬二舅
家里真干净
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
二舅
敬二舅
敬二舅
敬二舅
敬二舅敬二舅
这位歪子是全村的柱子
平凡而不平凡
敬二舅
敬二舅
敬二舅
敬二舅
拉帮套
敬二舅
敬二舅
敬二舅
敬二舅
致敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
你可是历史老师！
进而就
进二舅
这是对岸光头的话！
敬二舅
敬二舅
敬二舅
最酷的老头呜呜呜呜！！
敬二舅
敬二舅
敬二舅！
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
全才啊
敬二舅
史森明吗
敬二舅
二舅太牛了
敬二舅
敬二舅
给二舅递烟
敬二舅
敬二舅
敬二舅
敬二舅
好厉害
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
二舅
好酷啊这个！！！！
是真惨
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
我在太原车上广播听到的
二舅真酷
敬二舅
敬二舅
敬二舅
敬二舅
我都要哭出来了
房地产这时候就开始了吗
敬二舅
敬二舅
致敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
致敬
敬二舅
敬二舅
敬二舅
笑着笑着就哭了
敬二舅
看两遍了
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
刷好几遍了，还是想看
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
一个平凡人，不平凡的一生。
敬二舅
敬二舅
敬二舅一杯
天才啊
敬二舅
敬二舅
敬二舅
敬二舅
我们还是看看周公子朋友圈吧
没经历过苦难的人才会歌颂苦难
致二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅！
敬二舅
敬二舅，高手在民间
君子自强不息
敬二舅
敬二舅
他很正!
敬二舅
敬二舅
敬二舅
敬二舅
敬二舅
他好厉害啊
